Step Type,Target Page,Step Number,Step Title,Option
Incubation,"WsRepo : Worksheet for Biomarker Analysis of the Proinflammatory Panel 1, Cytokine Panel 1, MIP-1, MCP-1, and IL-1RA in Human Serum in Support of Clinical Study THOR-707-101",2,2,Interval Duration
WashProgram Step,"WsRepo : Worksheet for Biomarker Analysis of the Proinflammatory Panel 1, Cytokine Panel 1, MIP-1, MCP-1, and IL-1RA in Human Serum in Support of Clinical Study THOR-707-101",3,3,
Incubation,"WsRepo : Worksheet for Biomarker Analysis of the Proinflammatory Panel 1, Cytokine Panel 1, MIP-1, MCP-1, and IL-1RA in Human Serum in Support of Clinical Study THOR-707-101",4,4,Interval Duration
WashProgram Step,"WsRepo : Worksheet for Biomarker Analysis of the Proinflammatory Panel 1, Cytokine Panel 1, MIP-1, MCP-1, and IL-1RA in Human Serum in Support of Clinical Study THOR-707-101",5,5,
Instructional Step,"WsRepo : Worksheet for Biomarker Analysis of the Proinflammatory Panel 1, Cytokine Panel 1, MIP-1, MCP-1, and IL-1RA in Human Serum in Support of Clinical Study THOR-707-101",6,6,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,1,1,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,2,2,Interval Duration
Incubation,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,3,3,Interval Duration
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,4,4,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,5,5,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,6,6,Interval Duration
WashProgram Step,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,7,7,
Incubation,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,8,8,Interval Duration
WashProgram Step,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,9,9,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,10,10,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,11,11,
Instructional Step,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,1,1,
Incubation,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,2,2,Interval Duration
Incubation,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,3,3,Interval Duration
Instructional Step,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,4,4,
Instructional Step,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,5,5,
Incubation,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,6,6,Interval Duration
Instructional Step,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,7,7,
Incubation,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,8,8,Interval Duration
Instructional Step,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,9,9,
Instructional Step,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,10,10,
Instructional Step,WsRepo : Detection of Anti-AGEN2034 Antibodies in Human Serum Samples - Screening/Titer Worksheet,11,11,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,7,7,
Instructional Step,WsRepo : Confirmatory Worksheet for Detection of Anti-AGEN1884 Antibodies in Human Serum Samples from Clinical Study C-750-01,9,9,
Instructional Step,"WsRepo : Worksheet for Biomarker Analysis of the Proinflammatory Panel 1, Cytokine Panel 1, MIP-1, MCP-1, and IL-1RA in Human Serum in Support of Clinical Study THOR-707-101",1,1,
Incubation,"WsRepo : Worksheet for Biomarker Analysis of the Proinflammatory Panel 1, Cytokine Panel 1, MIP-1, MCP-1, and IL-1RA in Human Serum in Support of Clinical Study THOR-707-101",2,2,Interval Duration
Instructional Step,"WsRepo : Worksheet for Biomarker Analysis of the Proinflammatory Panel 1, Cytokine Panel 1, MIP-1, MCP-1, and IL-1RA in Human Serum in Support of Clinical Study THOR-707-101",3,3,
Incubation,"WsRepo : Worksheet for Biomarker Analysis of the Proinflammatory Panel 1, Cytokine Panel 1, MIP-1, MCP-1, and IL-1RA in Human Serum in Support of Clinical Study THOR-707-101",4,4,Interval Duration
Instructional Step,"WsRepo : Worksheet for Biomarker Analysis of the Proinflammatory Panel 1, Cytokine Panel 1, MIP-1, MCP-1, and IL-1RA in Human Serum in Support of Clinical Study THOR-707-101",5,5,
Incubation,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",1,1,Interval Duration
WashProgram Step,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",2,2,
Incubation,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",3,3,Interval Duration
Instructional Step,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",4,4,
Instructional Step,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",5,5,
Incubation,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",6,6,Interval Duration
WashProgram Step,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",7,7,
Instructional Step,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",8,8,
Incubation,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",9,9,Interval Duration
WashProgram Step,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",10,10,
Incubation,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",11,11,Interval Duration
WashProgram Step,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",12,12,
Instructional Step,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",13,13,
Instructional Step,"WsRepo : Anti-AXER-204 Antibody Assay: Screening, Confirmatory and Titer Method",14,14,
Customized Step,,,FWD-1327 Run Info,
Customized Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,1,Custom Step,
Instructional Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,1,1,
Incubation,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,2,2,Interval Duration
Instructional Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,3,3,
Instructional Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,4,4,
Instructional Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,5,5,
Interval Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,6,6,Interval Duration
Interval Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,2,2,Interval Duration
Instructional Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,7,7,
Interval Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,8,8,Interval Duration
Instructional Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,9,9,
Instructional Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,10,10,
Instructional Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,11,11,
Customized Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,12,12,
Instructional Step,WsRepo : Screening and Titer Assay worksheet for Detection of Anti-Burosumab (anti-KRN23) Antibodies in Human Serum,13,13,
Incubation,WsRepo : Validation of Electrochemiluminescence Assay for the Detection of Anti-PIT565 Antibodies in Cynomolgus Serum Plan Worksheet,1,1,Interval Duration
Instructional Step,WsRepo : Validation of Electrochemiluminescence Assay for the Detection of Anti-PIT565 Antibodies in Cynomolgus Serum Plan Worksheet,2,2,
Instructional Step,WsRepo : Validation of Electrochemiluminescence Assay for the Detection of Anti-PIT565 Antibodies in Cynomolgus Serum Plan Worksheet,3,3,
Instructional Step,WsRepo : Validation of Electrochemiluminescence Assay for the Detection of Anti-PIT565 Antibodies in Cynomolgus Serum Plan Worksheet,4,4,
Incubation,WsRepo : Validation of Electrochemiluminescence Assay for the Detection of Anti-PIT565 Antibodies in Cynomolgus Serum Plan Worksheet,5,5,Interval Duration
Instructional Step,WsRepo : Validation of Electrochemiluminescence Assay for the Detection of Anti-PIT565 Antibodies in Cynomolgus Serum Plan Worksheet,6,6,
Incubation,WsRepo : Validation of Electrochemiluminescence Assay for the Detection of Anti-PIT565 Antibodies in Cynomolgus Serum Plan Worksheet,7,7,Interval Duration
Instructional Step,WsRepo : Validation of Electrochemiluminescence Assay for the Detection of Anti-PIT565 Antibodies in Cynomolgus Serum Plan Worksheet,8,8,
Instructional Step,WsRepo : Validation of Electrochemiluminescence Assay for the Detection of Anti-PIT565 Antibodies in Cynomolgus Serum Plan Worksheet,9,9,
Instructional Step,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,1,1,
Instructional Step,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,2,2,
Instructional Step,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,3,3,
Incubation,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,4,4,Interval Duration
Instructional Step,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,5,5,
Instructional Step,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,6,6,
Instructional Step,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,7,7,
Incubation,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,8,8,Interval Duration
Instructional Step,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,9,9,
Instructional Step,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,10,10,
Instructional Step,WsRepo : Detection of Neutralizing Antibodies to Arylsulfatase A (SHP611) in Human Serum in Support of Clinical Study SHP611-201 Assay Worksheet,11,11,
Instructional Step,WsRepo : Sample Analysis of GDF-8/Myostatin in Pediatric Serum,1,1,
Incubation,WsRepo : Sample Analysis of GDF-8/Myostatin in Pediatric Serum,2,2,Interval Duration
WashProgram Step,WsRepo : Sample Analysis of GDF-8/Myostatin in Pediatric Serum,3,3,
Incubation,WsRepo : Sample Analysis of GDF-8/Myostatin in Pediatric Serum,4,4,Interval Duration
WashProgram Step,WsRepo : Sample Analysis of GDF-8/Myostatin in Pediatric Serum,5,5,
Incubation,WsRepo : Sample Analysis of GDF-8/Myostatin in Pediatric Serum,6,6,Interval Duration
Instructional Step,WsRepo : Sample Analysis of GDF-8/Myostatin in Pediatric Serum,7,7,
Instructional Step,WsRepo : Sample Analysis of GDF-8/Myostatin in Pediatric Serum,8,8,
Instructional Step,WsRepo : Sample Analysis of Follistatin in Pediatric Serum,1,1,
Interval Step,WsRepo : Sample Analysis of Follistatin in Pediatric Serum,2,2,Interval Duration
WashProgram Step,WsRepo : Sample Analysis of Follistatin in Pediatric Serum,3,3,
Interval Step,WsRepo : Sample Analysis of Follistatin in Pediatric Serum,4,4,Interval Duration
WashProgram Step,WsRepo : Sample Analysis of Follistatin in Pediatric Serum,5,5,
Incubation,WsRepo : Sample Analysis of Follistatin in Pediatric Serum,6,6,Interval Duration
Instructional Step,WsRepo : Sample Analysis of Follistatin in Pediatric Serum,7,7,
Instructional Step,WsRepo : Sample Analysis of Follistatin in Pediatric Serum,8,8,
Instructional Step,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,1,1,
Incubation,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,2,2,Interval Duration
Instructional Step,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,3,3,
Instructional Step,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,4,4,
Incubation,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,5,5A,Interval Duration
Customized Step,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,5,5B,
Incubation,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,6,6,Interval Duration
Incubation,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,7,7,Interval Duration
Instructional Step,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,8,8,
Incubation,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,9,9,Interval Duration
Instructional Step,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,10,10,
Instructional Step,WsRepo : Worksheet Screening and Titer for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assay,11,11,
Instructional Step,WsRepo : THP-1 Complete Growth Medium with Antibiotic Preparation Worksheet,1,1,
Instructional Step,WsRepo : THP-1 Complete Growth Medium with Antibiotic Preparation Worksheet,3,3,
Customized Step,WsRepo : THP-1 Complete Growth Medium with Antibiotic Preparation Worksheet,2,2,
Customized Step,WsRepo : THP-1 Complete Growth Medium with Antibiotic Preparation Worksheet,4,4,
Instructional Step,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,1,1,
Incubation,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,2,2,Interval Duration
Instructional Step,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,3,3,
Instructional Step,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,4,4,
Incubation,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,5,5A,Interval Duration
Customized Step,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,5,5B,
Incubation,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,6,6,Interval Duration
Incubation,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,7,7,Interval Duration
Instructional Step,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,8,8,
Incubation,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,9,9,Interval Duration
Instructional Step,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,10,10,
Instructional Step,WsRepo : Worksheet Confirmatory for Detection of Anti-GS-3583 Antibodies in Human Serum of Subjects with Advanced Solid Tumors Using a Validated Electrochemiluminescent Bridging Assayy,11,11,
Incubation,WsRepo : Quantification of CB4332 in Cynomolgus Monkey Plasma Worksheet,1,1,Interval Duration
WashProgram Step,WsRepo : Quantification of CB4332 in Cynomolgus Monkey Plasma Worksheet,2,2,
Incubation,WsRepo : Quantification of CB4332 in Cynomolgus Monkey Plasma Worksheet,3,3,Interval Duration
WashProgram Step,WsRepo : Quantification of CB4332 in Cynomolgus Monkey Plasma Worksheet,4,4,
Instructional Step,WsRepo : Quantification of CB4332 in Cynomolgus Monkey Plasma Worksheet,5,5,
Incubation,WsRepo : Quantification of CB4332 in Cynomolgus Monkey Plasma Worksheet,6,6,Interval Duration
WashProgram Step,WsRepo : Quantification of CB4332 in Cynomolgus Monkey Plasma Worksheet,7,7,
Incubation,WsRepo : Quantification of CB4332 in Cynomolgus Monkey Plasma Worksheet,8,8,Interval Duration
WashProgram Step,WsRepo : Quantification of CB4332 in Cynomolgus Monkey Plasma Worksheet,9,9,
Instructional Step,WsRepo : Quantification of CB4332 in Cynomolgus Monkey Plasma Worksheet,10,10,
Instructional Step,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,1,1,
Incubation,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,2,2,No Less than Lower Bound
Instructional Step,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,3,3,
Incubation,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,4,4,Interval Duration
Instructional Step,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,5,5,
Incubation,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,6,6,Interval Duration
Instructional Step,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,7,7,
Instructional Step,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,8,8,
Incubation,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,9,9,Interval Duration
Instructional Step,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,10,10,
Instructional Step,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,11,11,
Instructional Step,WsRepo : IL-7 Confirmatory Worksheet for Validation of an Electrochemiluminescent Assay for the Detection of GX-I7 Antibodies in Human Serum,12,12,
Customized Step,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,1,1,
Instructional Step,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,2,2,
Incubation,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,3,3,Interval Duration
Instructional Step,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,4,4,
Instructional Step,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,5,5,
Incubation,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,6,6,Interval Duration
Instructional Step,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,7,7,
Incubation,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,8,8,Interval Duration
Instructional Step,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,9,9,
Instructional Step,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,10,10,
Customized Step,WsRepo : Worksheet for a PK Assay for Quantitative Determination of Free VB119 in Human Serum,1,1,
Instructional Step,WsRepo : Day 1   {28612559},1,1,
Instructional Step,WsRepo : Day 1   {28612559},2,2,
Instructional Step,WsRepo : Day 1   {28612559},3,3,
Instructional Step,WsRepo : Day 1   {28612559},4,4,
Interval Step,WsRepo : Day 1   {28612559},5,5,Interval Duration
Instructional Step,WsRepo : Day 1   {28612559},6,6,
Customized Step,WsRepo : Day 1   {28612559},7,7,
Instructional Step,WsRepo : Day 2   {28612559},1,1,
Instructional Step,WsRepo : Day 2   {28612559},2,2,
Customized Step,WsRepo : Day 2   {28612559},3,3,
Instructional Step,WsRepo : Day 2   {28612559},4,4,
Instructional Step,WsRepo : Day 2   {28612559},5,5,
Instructional Step,WsRepo : Day 2   {28612559},6,6,
Instructional Step,WsRepo : Day 2   {28612559},7,7,
Instructional Step,WsRepo : Day 2   {28612559},8,8,
Interval Step,WsRepo : Day 2   {28612559},9,9 Plate 1,Interval Duration
N/A Step,~vhittlek : Kye's Worksheet Stepifier,9,NA Step 9,
,,,,
Interval Step,WsRepo : Day 2   {28612559},9,9 Plate 2,
Interval Step,WsRepo : Day 2   {28612559},9,9 Plate 2,Interval Duration
Interval Step,WsRepo : Day 2   {28612559},9,9 Plate 3,Interval Duration
Interval Step,WsRepo : Day 2   {28612559},9,9 Plate 4,Interval Duration
Instructional Step,WsRepo : Day 2   {28612559},10,10,
Instructional Step,WsRepo : Day 2   {28612559},11,11,
Instructional Step,WsRepo : Day 2   {28612559},12,12,
Customized Step,WsRepo : Ramos cell Maintenance worksheet,1,1,
Customized Step,WsRepo : Ramos cell Maintenance worksheet,2,2,
Customized Step,WsRepo : Ramos cell Maintenance worksheet,3,3,
Customized Step,WsRepo : Ramos cell Maintenance worksheet,3,3,
Instructional Step,WsRepo : Ramos cell Maintenance worksheet,4,4,
Customized Step,WsRepo : Ramos cell Maintenance worksheet,5,5,
Customized Step,WsRepo : Ramos cell Maintenance worksheet,6,6,
Customized Step,~vhittlek : Kye's Worksheet Stepifier,6b,6b,
Customized Step,WsRepo : Ramos cell Maintenance worksheet,6b,6b - Calculate Media Volume,
Customized Step,WsRepo : Ramos cell Maintenance worksheet,7,7,
Instructional Step,WsRepo : Ramos cell Maintenance worksheet,8,8,
Customized Step,WsRepo : Ramos cell Maintenance worksheet,9,9,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,1,1,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,3,3,
Customized Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,2,2,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,4,4,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,5,5,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,6,6,
Customized Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,7,7,
Incubation,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,8,8,Interval Duration
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,9,9,
Customized Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,10,10,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,11,11,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,12,12,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,13,13,
Customized Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,14,14,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,15,15,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,16,16,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,17,17,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,18,18,
Customized Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,19,19,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,20,20,
Customized Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,21,21,
Instructional Step,WsRepo : PK Assay for 41BBL+IL-15RTP+ RTX-240 in Human Whole Blood Worksheet,22,22,
